Item Cd,Total GHG Emissions,Freshwater Comsumption (l),Acidification (kg SO2eq),Eutrophication (kg PO43-eq),GHG LCA Fu,Freshwater LCA Fu,Acidification LCA Fu,Eutrophication LCA Fu
Teff,0.0006272,0.02562,2.74E-06,2.66E-06,0.000392,0.00183,0.000392,0.001331
Maize (corn),0.0014641,0.117208,9.32E-06,2.74E-06,0.001331,0.000392,0.001331,0.000392
Wheat (Incl. Flour factory product),0.0015624,0.15972,1.10E-05,3.66E-06,0.001116,0.001331,0.00183,0.00183
Barley (Incl. Beso...),0.002013,0.61893,1.34E-05,7.81E-06,0.00183,0.00207,0.001116,0.001116
Oats,0.003312,0.633888,1.45E-05,1.45E-05,0.00207,0.001116,0.00207,0.00207
Sorghum,0.0039039,1.318317,3.30E-05,1.80E-05,0.003003,0.003003,0.003003,0.003003
purchased bread/biscuit,0.008736,3.54432,7.49E-05,4.37E-05,0.00624,0.00624,0.00624,0.00624
purchased Injera,0.0130368,4.865437,0.000111744,6.52E-05,0.009312,0.011083,0.009312,0.009312
Millet,0.0144079,5.289216,0.000121913,6.65E-05,0.011083,0.009312,0.011083,0.011083
Pasta/Maccaroni (Wheat),0.0176204,7.148848,0.000151032,8.81E-05,0.012586,0.012586,0.012586,0.012586
Rice,0.03672,18.02034,0.00022032,0.0002754,0.00918,0.00918,0.00918,0.00918
Cheese (All Kinds),-0.1032016,-22.616728,-0.000725332,-0.000433252,-0.004868,-0.004868,-0.004868,-0.004868
Butter/ghee,-0.014826,-2.7534,-9.53E-05,-4.77E-05,-0.005295,-0.005295,-0.005295,-0.005295
Raw milk of cattle,0.0137984,2.56256,8.87E-05,4.44E-05,0.004928,0.004928,0.004928,0.004928
"Hen eggs in shell, fresh",0.047385,5.87574,0.00054756,0.00022113,0.01053,0.01053,0.01053,0.01053
Orange,0.0016551,0.358605,1.25E-05,6.26E-06,0.005517,0.005517,0.003131,0.003131
Avocado,0.0021917,0.37572,1.66E-05,1.10E-05,0.003131,0.003131,0.005517,0.005517
Papaya,0.0081949,0.990756,4.68E-05,2.28E-05,0.011707,0.011388,0.011707,0.011388
