Dist_Name,Variable,Value
Addis Ketema,Cooking fuel,28.0
Addis Ketema,Housing,79.0
Addis Ketema,Assets,44.2
Addis Ketema,Drinking water,9.8
Addis Ketema,Sanitation,85.7
Addis Ketema,Electricity,0.0
Akaki Kality,Cooking fuel,21.7
Akaki Kality,Housing,52.5
Akaki Kality,Assets,27.7
Akaki Kality,Drinking water,4.5
Akaki Kality,Sanitation,69.6
Akaki Kality,Electricity,0.0
Arada,Cooking fuel,0.0
Arada,Housing,95.4
Arada,Assets,0.3
Arada,Drinking water,11.1
Arada,Sanitation,84.2
Arada,Electricity,0.0
Bole,Cooking fuel,15.5
Bole,Housing,38.9
Bole,Assets,35.3
Bole,Drinking water,3.6
Bole,Sanitation,80.6
Bole,Electricity,0.0
Gulele,Cooking fuel,39.6
Gulele,Housing,89.8
Gulele,Assets,44.4
Gulele,Drinking water,5.5
Gulele,Sanitation,90.3
Gulele,Electricity,0.0
Kirkos,Cooking fuel,13.1
Kirkos,Housing,40.3
Kirkos,Assets,24.1
Kirkos,Drinking water,6.7
Kirkos,Sanitation,60.7
Kirkos,Electricity,0.0
Kolfe Keraniyo,Cooking fuel,19.3
Kolfe Keraniyo,Housing,35.9
Kolfe Keraniyo,Assets,22.3
Kolfe Keraniyo,Drinking water,21.8
Kolfe Keraniyo,Sanitation,53.8
Kolfe Keraniyo,Electricity,0.0
Lideta,Cooking fuel,11.0
Lideta,Housing,93.1
Lideta,Assets,41.5
Lideta,Drinking water,4.7
Lideta,Sanitation,73.3
Lideta,Electricity,0.0
Nifas Silk Lafto,Cooking fuel,20.7
Nifas Silk Lafto,Housing,49.5
Nifas Silk Lafto,Assets,23.3
Nifas Silk Lafto,Drinking water,8.2
Nifas Silk Lafto,Sanitation,56.6
Nifas Silk Lafto,Electricity,0.0
Yeka,Cooking fuel,34.6
Yeka,Housing,89.2
Yeka,Assets,48.8
Yeka,Drinking water,36.3
Yeka,Sanitation,68.5
Yeka,Electricity,6.3
