Year,Cat,Reg,value
2010,foodExp_totalExp,Hanoi,41.89
2012,foodExp_totalExp,Hanoi,38.88
2014,foodExp_totalExp,Hanoi,30.12
2016,foodExp_totalExp,Hanoi,28.8
2018,foodExp_totalExp,Hanoi,25.25
2020,foodExp_totalExp,Hanoi,27.66
2022,foodExp_totalExp,Hanoi,22.87
2010,foodExp_totalExp,Vietnam,43.38
2012,foodExp_totalExp,Vietnam,42.11
2014,foodExp_totalExp,Vietnam,35.14
2016,foodExp_totalExp,Vietnam,33.16
2018,foodExp_totalExp,Vietnam,28.88
2020,foodExp_totalExp,Vietnam,31.63
2022,foodExp_totalExp,Vietnam,27.55
2010,foodExp_totalInc,Hanoi,46.13
2012,foodExp_totalInc,Hanoi,50.04
2014,foodExp_totalInc,Hanoi,47.41
2016,foodExp_totalInc,Hanoi,45.9
2018,foodExp_totalInc,Hanoi,42.6
2020,foodExp_totalInc,Hanoi,45.44
2022,foodExp_totalInc,Hanoi,45.0
2010,foodExp_totalInc,Vietnam,49.7
2012,foodExp_totalInc,Vietnam,52.54
2014,foodExp_totalInc,Vietnam,49.1
2016,foodExp_totalInc,Vietnam,47.62
2018,foodExp_totalInc,Vietnam,43.96
2020,foodExp_totalInc,Vietnam,46.52
2022,foodExp_totalInc,Vietnam,46.05
2010,riceAfford,Hanoi,0.2
2012,riceAfford,Hanoi,0.16
2014,riceAfford,Hanoi,0.11
2016,riceAfford,Hanoi,0.09
2018,riceAfford,Hanoi,0.08
2020,riceAfford,Hanoi,0.08
2010,riceAfford,Vietnam,0.19
2012,riceAfford,Vietnam,0.2
2014,riceAfford,Vietnam,0.14
2016,riceAfford,Vietnam,0.12
2018,riceAfford,Vietnam,0.1
2020,riceAfford,Vietnam,0.11
2010,riceExp_House,Hanoi,3.91
2012,riceExp_House,Hanoi,3.45
2014,riceExp_House,Hanoi,2.44
2016,riceExp_House,Hanoi,1.9
2018,riceExp_House,Hanoi,1.59
2020,riceExp_House,Hanoi,1.47
2010,riceExp_House,Vietnam,6.27
2012,riceExp_House,Vietnam,5.53
2014,riceExp_House,Vietnam,4.17
2016,riceExp_House,Vietnam,3.33
2018,riceExp_House,Vietnam,2.65
2020,riceExp_House,Vietnam,2.58
